Manufacturer,Position,Part Code (MPN),Part Description
Sanremo,243,10509016,PER MOD. ROMA FILTER 
Sanremo,Spare,parts,Ed. 07/200918
Sanremo,244,10112196,PROL.SONDA DI TEMP.700MM TEMPERATURE PROBE EXTENSION CABLE
Sanremo,245,10112182,PIDBULL RITARDATA PIDBULL LATE ELECTRONIC BOARD
Sanremo,246,10203080,TC+ M4x30 ZN SCREW TC+ M4x30 ZN
Sanremo,247,10805084,TC+ M4X10 ZN SCREW TC+ M4X10 ZN
Sanremo,248a,10102440A,ROMA 2GR SED C/FILTRO WIRING WITH FILTER 2GR
Sanremo,248b,10102442,ROMA 3GR SED C/FILTRO WIRING WITH FILTER 3GR
Sanremo,249,10052064,PER VASCHETTA DI SCARICO DRAIN BOX TOP 
Sanremo,250,10809012,6MA FLANG.ZIGR.ZN FLANGED NUT 6MA
Sanremo,251,10803536,"D6,2 DENT.ZN TOOTHED WASHER D6,2"
Sanremo,252,10402058,POGGIATAZZE BIANCA WHITE GRID CUP
Sanremo,253a,10952051A,ALL.SAN REMO 230V SANREMO LABEL 230V
Sanremo,253b,10952052A,ALL.SAN REMO 400V SANREMO LABEL 400V
Sanremo,254,10805950,D3x6 RIVET D3X6
Sanremo,255a,10002628,ALIM. SCAMB. ROMA 2GR INLET EXCHANGED TUBE 2GR
Sanremo,255b,10002966,ALIM. SCAMB. ROMA 3GR INLET EXCHANGED TUBE 3GR
Sanremo,256,10852780,"T 1/8"" M/F/M FITTING 1/8 M/F/M"
Sanremo,257,10554084,LED ROMA SUP. 230V 5+5LED + RES. SUPERIOR LED LAMP 230V 5+5 LED +RESISTENCE
Sanremo,258,10554086,LED ROMA SUP. 230V 3+3LED + RES. SUPERIOR LED LAMP 230V 3+3 LED +RESISTENCE
Sanremo,259,10554090A,230V LAMPADE LED  LED LAMP POWER SUPPLY 230V
Sanremo,260,10352058,PER POMPA ESTERNA EXTERNAL PUMP FOOT
Sanremo,261a,10252087,EL.ESTERNO 300W 230V 1-2GR EXTERNAL ELECTIRCAL MOTOR 300W 230V 1-2GR
Sanremo,261b,10252089,EL.ESTERNO 187W 230V 2-3GR EXTERNAL ELECTIRCAL MOTOR 187W 230V 2-3GR
Sanremo,262,10112198,ALIMENTAZIONE RELE' ROMA REALY CAMPLE SUPPLY
Sanremo,263,10853210,"L RAPIDO 4-1/8""M RAPID FITTING 4-1/8M"
Sanremo,264,10852004,DI FLUSSO REDUCING FLOW 
Sanremo,265,10402232,VAPORE ELETTRONICA ELECTRONIC STEAM WAND
Sanremo,Spare,parts,Ed. 07/200919
Sanremo,266,10402035,FISSA MANOPOLA LANCIA ELE. ELECTRONIC WAND KNOB FITTING
Sanremo,267,10015642A,LANCIA ELE. ELECTRONIC WAND SUPPORT
Sanremo,268,10805177,TBL- M4X6 A2 SCREW TBL- M4X6 A2
Sanremo,269,10853215,"T 1/8"" M/F/F FITTING 1/8 M/F/F"
Sanremo,270,10303010A,1/8 2VIE 230V 2 WAY SOLENOID VALVE 230V
Sanremo,271,10853204,"DRITTO RAPIDO 4-1/8""M RAPID STRAIGHT FITTING 4-1/8M"
Sanremo,272,10909010,"TEFLON D.4X2,5 TEFLON TUBE D4X2,5"
Sanremo,273,10015652,SUPPORTO EV TSS TSS SOLENOID VALVE SUPPORT
Sanremo,274,10112186,ESPANSIONE RELE' REALY EXAPNSION ELECTRICAL BOX 
Sanremo,275,10002544,COLLEG. LANCIA TS RM 2-3 C/EV LAVAGGIO CONNECTION TUBE BETWEEN  TS WAND AND WASH SOLE-
Sanremo,276,10002546,COLLEG. LANCIA TS RM 2-3 C/EV VAPORE CONNECTION TUBE BETWEEN  TS WAND AND STEAM SOLE-NOID VALVE 
Sanremo,277,10002548,VAPORE DX ROMA 2-3GR LANCIA TS WAND TS RIGHT STEAM TUBE 2-3GR
Sanremo,278,10002549,PRELIEVO ACQUA RM 2-3 X LANCIA TS WAND TS WATER  TUBE 2-3GR
Sanremo,279,10801032,TSPEI M5X12 ZN SCREW TSPEI M5X12 ZN
Sanremo,280,10805038,TSPEI M3X6 A2 SCREW  TSPEI M3X6 A2
Sanremo,281,10102376,AGG. LANCIA ELE. ROMA 2 ELECTRICAL WAND WIRING
Sanremo,282,10852530A,"10-3/8""M 1020 FITTING 10-3/8M"
Sanremo,283,10852280A,"8-3/8""M 1020 FITTING 8-3/8M"
Sanremo,284,10852450,TRAZ. 3/8 FD FD L=2000 TRACTION TUBE 3/8 FD FD L2000
Sanremo,285,10355036,RINFORZO MANOPOLA COMM. RM KNOB REINFORCEMENT BOWL
Sanremo,286,10102595A,COLLEG. MACCHINA / POMPA ESTERNA PUMP TO MACHINE CONNECTION WIRING
Sanremo,287a,10102620A,COLLEG. MOTORE POMPA EST. 2GR PUMP TO MOTOR 2GR CONNECTION WIRING
Sanremo,287b,10102630A,COLLEG. MOTORE POMPA EST. 3GR PUMP TO MOTOR 3GR CONNECTION WIRING
Sanremo,288,10252012,"0,1UFX2 CONDENSER 0,1UFX2"
