Manufacturer,Position,Part Code (MPN),Part Description
Sanremo,46b,10015692,PROT. FORI E61 ROMA 3GR PROTECTION PLATE 3GR
Sanremo,47a,10015632B,SUPP. PULSANTIERE ROMA 2GR PUSH BUTTON BREAKER 2GR
Sanremo,47b,10015684,SUPP. PULSANTIERE ROMA 3GR PUSH BUTTON BREAKER 3GR
Sanremo,48,10352116,INF.SX PLEX BIANCO ROMA WHITE PLEXIGLASS LOWER LEFT PANEL 
Sanremo,49,10352124,INF.SX PLEX TRASP.ROMA TRANSPARENT  PLEXIGLASS LOWER LEFT PANEL 
Sanremo,50,10505042,D4X920MM PLEX INF.SX SEAL D4X920MM
Sanremo,51a,10015638C,ROMA 2GR SCALDAT. CUP WORMER PROTECTION FRONT 2GR
Sanremo,51b,10015690,ROMA 3GR SCALDAT. CUP WORMER PROTECTION FRONT 3GR
Sanremo,52a,10022716,SCARICO ROMA 2GR FILINOX FILINOX DRAIN GRID 2GR
Sanremo,52b,10015694,SCARICO ROMA 3GR FILINOX FILINOX DRAIN GRID 3GR
Sanremo,53,10505558,RUBINETTO SILICONE SILICON TAP SEAL 
Sanremo,54,10402061,CENTRALE RUBINETTO CENTAL  TAP ROD
Sanremo,55,10402014,ASTA RUBINETTO TAP  ROD SPRING
Sanremo,56,10402015,ASTA RUBINETTO TAP ROD BUSHING
Sanremo,57,10505121,ASTA RUBINETTO TAP ROD O-RING
Sanremo,58,10505561,RAME RUB.ACQ/VAP COPPER  WATER/STEAM TAP BUSHING
Sanremo,Spare,parts,Ed. 07/200910
Sanremo,59,10402120A,RUBINETTO COMPL. COMPLETE TAP BODY
Sanremo,60,10852926A,ESAG.VAPORIZZ. EXAGONAL EXTENSION
Sanremo,61,10402056A,2062 VITON NERO BLACK VITON O-RING 2062
Sanremo,62,10402043,SNODO RUBINETTO TAP JUNCTION SPRING
Sanremo,63,10402054,SNODO RUBINETTO TAP JUNCTION SPHERICAL WASHER 
Sanremo,64a,10401998,H2O COMPL.RM 230V COMPLETE WATER TAP  230V
Sanremo,64b,10402000,H2O COMPL.RM 120V COMPLETE WATER TAP  120V
Sanremo,65,10402063A,115 EPDM SNODO RUBINETTO EPDM TAP JUNCTION O-RING 115
Sanremo,66,10402022B,SNODO RUB.OTT.NI.D.22 TAP JUNCTION NUT D22
Sanremo,67,10022140,EROGATORE ACQUA WATER DISPENSER TUBE
Sanremo,68,10502041,2025 EPDM EPDM 2025 O-RING
Sanremo,69,10402140,EROGAZIONE ACQUA WATER DISTRIBUTION SHOWER
Sanremo,70,10859029,"1/8""M 3/8""M CROMATO CROMATE RIDUCTION  1/8""M 3/8""M"
Sanremo,71,10852210,1/8 RACCORDO L F.M. 2020 ANGLE JOINT 1/8
Sanremo,72,10852741,"1/8""M 1/8""F L.36mm 2025 ANGLE JOINT 1/8M 1/8F L36mm"
Sanremo,73a,10303060,"2VIE 1/8"" 120V 2 WAY SOLENOID 1/8"" 120V"
Sanremo,73b,10303086,"2VIE 1/8"" 230V 3 WAY SOLENOID 1/8"" 230V"
Sanremo,74,10852066A,"8-1/8""M 1020 ANGLE JOINT  8-1/8m "
Sanremo,75,10805074,TE M4X8 ZN SCREW TE M4X8 ZN
Sanremo,76,10803519,"D4,2 DENT.ZN TOOTHED WASHER D4,2 ZN"
Sanremo,77,10402082,SNODO LANCIA MLX STEAM WAND JUNCTION O-RING
Sanremo,78,10402282,LANCIA VAPORE MLX STEAM WAND NUT 
Sanremo,79,10402288,A SFERA INOX LANCIA INOX STEAM WAND SPHERICAL JUNCTION
Sanremo,80,10402081,188 EPDM EPDM 188 O-RING
Sanremo,81,10402274,VAP.BRILL.INOX LANCIA INOX STEAM  WAND  TUBE
Sanremo,82,10753052,ANTISC.TUBO VAPORE STEAM TUBE ANTI-BURN RUBBER 
Sanremo,83,10402279,LANCIA VAP. STEAM WAND TIP
